iso3,y0,y1,horizon,gdp_growth,psi,eci
ABW,2000,2010,10,1.5271064113835031,0.2894206567449296,0.3334426268089742
ABW,2001,2011,10,2.149021598760026,0.1219467103606052,-0.068161759839414
ABW,2002,2012,10,1.646037189386664,0.0840816352044028,-0.1907025855090504
ABW,2003,2013,10,1.6215686105009297,0.2203735459496557,-0.1484826371690917
ABW,2004,2014,10,0.9757620635039997,-5.393512090228452,-0.3019161079655272
ABW,2005,2015,10,1.2747757021016604,-5.957010823545988,0.1408784721852598
ABW,2006,2016,10,0.9937451862314716,-6.037985523120292,0.1975149882510582
ABW,2007,2017,10,0.6177590491228102,-6.241162844932121,-0.2277737596612093
ABW,2008,2018,10,0.6560586850408789,-6.939305577425857,-0.0475666630882146
ABW,2009,2019,10,2.128335929251115,-8.020100672656866,0.8061000972490003
ABW,2010,2020,10,-0.5271645516455514,-7.715316146693519,0.8163976456246
ABW,2011,2021,10,0.5624646359440533,-6.997358350487689,-0.4584388432746427
ABW,2012,2022,10,1.9602567304425202,-7.5449253728653884,0.1728008721496189
ABW,2013,2023,10,2.75012506558177,-8.23128878419284,0.887450729416238
AFE,2000,2010,10,8.176371904205704,0.0569034206716979,
AFE,2001,2011,10,10.194792252817653,0.0569034206716979,
AFE,2002,2012,10,10.007800561451887,0.0569034206716979,
AFE,2003,2013,10,7.255109369951987,0.0569034206716979,
AFE,2004,2014,10,5.229303782403365,0.0569034206716979,
AFE,2005,2015,10,2.822875745953919,0.73587686424575,
AFE,2006,2016,10,0.861811504589518,0.7303652604860705,
AFE,2007,2017,10,1.096676839848012,0.7111780913113177,
AFE,2008,2018,10,0.7962464963555593,0.7037510691840733,
AFE,2009,2019,10,0.7448754166637706,0.6906117560084001,
AFE,2010,2020,10,-1.753557959907779,0.6494414186282933,
AFE,2011,2021,10,-1.3106082218275095,0.6099097706328361,
AFE,2012,2022,10,-0.4482509692880221,0.5704874639151862,
AFE,2013,2023,10,-1.0214902195021835,0.6612642725666832,
AFE,2014,2024,10,-0.5493767510734671,0.4764350838671657,
AFG,2000,2010,10,11.646544380376653,8.027523517769522,-0.2185059661231697
AFG,2001,2011,10,14.756631510562206,0.7244391478716612,-0.0228525469867753
AFG,2002,2012,10,12.92020913124202,6.84339870742165,-0.3884155143205647
AFG,2003,2013,10,11.642494242851251,5.963628710862662,-0.5439084947921202
AFG,2004,2014,10,10.362273602092227,6.172377361113796,-0.5264026625536007
AFG,2005,2015,10,7.9977420108354025,6.852530083124048,-0.1834943016461306
AFG,2006,2016,10,6.43899647421784,6.9649687207902895,-0.7467701977914344
AFG,2007,2017,10,3.3411020747682056,7.105597099197793,-0.9115309718010296
AFG,2008,2018,10,2.5240866241932114,7.205065301932156,-0.2566068951128886
AFG,2009,2019,10,0.9398892566836015,7.060366306402681,0.4271503170269315
AFG,2010,2020,10,-0.9309320188840075,7.165363670990012,-0.0527154372760145
AFG,2011,2021,10,-5.31702039917203,6.686481125374713,-0.9218285201766292
AFG,2012,2022,10,-6.006831617724657,5.980100157538887,-0.9022631782629896
AFG,2013,2023,10,-4.316253721648913,5.973699332874625,-1.133958016713983
AFW,2000,2010,10,11.690478017702457,0.0569034206716979,
AFW,2001,2011,10,12.45691456460837,0.0569034206716979,
AFW,2002,2012,10,11.46610569694225,0.0569034206716979,
AFW,2003,2013,10,11.21463755576551,0.0569034206716979,
AFW,2004,2014,10,9.72015677878919,0.0569034206716979,
AFW,2005,2015,10,6.193643236360273,0.7280753005296207,
AFW,2006,2016,10,2.76215791388986,0.4270946689723545,
AFW,2007,2017,10,1.1185061471943225,0.6810544334771014,
AFW,2008,2018,10,0.3027642296262556,0.6645195980503811,
AFW,2009,2019,10,2.1204522844644735,0.6459183778056334,
AFW,2010,2020,10,0.09612732728302653,0.610627670731343,
AFW,2011,2021,10,-0.4335331679140885,0.309044728779488,
AFW,2012,2022,10,-0.7745949023315202,0.5436424142303977,
AFW,2013,2023,10,-2.872778172134076,0.4925380724455179,
AFW,2014,2024,10,-5.478618678884288,0.4763354109546314,
AGO,2000,2010,10,18.53368631127709,5.867732633956007,-2.0401422737667567
AGO,2001,2011,10,21.57643803499054,0.5939596081715594,-1.5417409323877311
AGO,2002,2012,10,17.518926642664827,5.672663875135164,-1.9989520802643577
AGO,2003,2013,10,16.282491045252783,5.565804358035755,-1.9103931642342005
AGO,2004,2014,10,13.74608272150663,5.92172437432981,-0.9177095008263892
AGO,2005,2015,10,5.170018364118345,5.553214957188119,-1.3388792293884169
AGO,2006,2016,10,-3.6985324496098926,5.7755860520487134,-1.747691899899725
AGO,2007,2017,10,-2.5368151972262876,5.624285367748352,-1.7425431257119253
AGO,2008,2018,10,-4.801253616605221,5.472658458011881,-1.6055857323164493
AGO,2009,2019,10,-3.593182493868437,5.193238338605662,-1.033042042633106
AGO,2010,2020,10,-9.086851389185053,5.3668079108203415,-1.513937551773612
AGO,2011,2021,10,-8.741289274328263,5.373364974684042,-1.3110758487742975
AGO,2012,2022,10,-5.51598918583438,4.908645812444108,-1.4058132938298151
AGO,2013,2023,10,-7.838754718316912,5.155355877300263,-1.3471172680888968
AGO,2014,2024,10,-8.582386627416643,5.780539077917012,-1.8321317965796424
ALB,2000,2010,10,12.741198024200786,2.374237860653356,-0.2545473854377686
ALB,2001,2011,10,12.139470613906376,0.0485346787334795,-0.2082084177475699
ALB,2002,2012,10,10.48457964185701,2.0530055811096988,-0.3451658111430459
ALB,2003,2013,10,8.397709143631849,2.118284577274921,-0.1896728306714905
